freq_hz,signal
2.770000000000000000e+09,9.994324177392483932e+01
2.771000000000000000e+09,9.996471522456147341e+01
2.772000000000000000e+09,9.991298394221081480e+01
2.773000000000000000e+09,9.999199696600604170e+01
2.774000000000000000e+09,9.995579587219432938e+01
2.775000000000000000e+09,9.998339596418914255e+01
2.776000000000000000e+09,1.000405051133293597e+02
2.777000000000000000e+09,9.998901100737643333e+01
2.778000000000000000e+09,1.000036255707026100e+02
2.779000000000000000e+09,1.000153918218172748e+02
2.780000000000000000e+09,1.000152565220137433e+02
2.781000000000000000e+09,1.000412623227762481e+02
2.782000000000000000e+09,9.995966391169304188e+01
2.783000000000000000e+09,1.000260176624271509e+02
2.784000000000000000e+09,9.995432351236425461e+01
2.785000000000000000e+09,1.000637912782861036e+02
2.786000000000000000e+09,9.997806301084574443e+01
2.787000000000000000e+09,1.000139325015532279e+02
2.788000000000000000e+09,9.998429182546614413e+01
2.789000000000000000e+09,1.000553085837602936e+02
2.790000000000000000e+09,9.995884607828075730e+01
2.791000000000000000e+09,1.001271749746706945e+02
2.792000000000000000e+09,9.998088934793801741e+01
2.793000000000000000e+09,9.993716510440417267e+01
2.794000000000000000e+09,9.993571590868498333e+01
2.795000000000000000e+09,1.000283578961710305e+02
2.796000000000000000e+09,9.994917531673421252e+01
2.797000000000000000e+09,9.994800591579424065e+01
2.798000000000000000e+09,9.988796809567004686e+01
2.799000000000000000e+09,9.991226757760037458e+01
2.800000000000000000e+09,9.992892285879517544e+01
2.801000000000000000e+09,1.000853697903929174e+02
2.802000000000000000e+09,1.000005334272334210e+02
2.803000000000000000e+09,9.996780450286473751e+01
2.804000000000000000e+09,9.996256067265014167e+01
2.805000000000000000e+09,1.000145988436958504e+02
2.806000000000000000e+09,1.000567279144048172e+02
2.807000000000000000e+09,9.991776197900018985e+01
2.808000000000000000e+09,1.000229187340908368e+02
2.809000000000000000e+09,1.000270106297574841e+02
2.810000000000000000e+09,1.000428791940069289e+02
2.811000000000000000e+09,9.998693313902475666e+01
2.812000000000000000e+09,1.000647257431138399e+02
2.813000000000000000e+09,9.996281177390349626e+01
2.814000000000000000e+09,9.991230156686982866e+01
2.815000000000000000e+09,9.994855884381348687e+01
2.816000000000000000e+09,9.987817723274042692e+01
2.817000000000000000e+09,1.000803739405042450e+02
2.818000000000000000e+09,1.000074949978781262e+02
2.819000000000000000e+09,9.997358985317885072e+01
2.820000000000000000e+09,9.995430738339867105e+01
2.821000000000000000e+09,1.000413126183489396e+02
2.822000000000000000e+09,9.995283445158156610e+01
2.823000000000000000e+09,1.000122950857059152e+02
2.824000000000000000e+09,9.990239861733705595e+01
2.825000000000000000e+09,1.000117544375173821e+02
2.826000000000000000e+09,1.000613849495988603e+02
2.827000000000000000e+09,9.999156061549595620e+01
2.828000000000000000e+09,1.000655268908445521e+02
2.829000000000000000e+09,9.990279607488901092e+01
2.830000000000000000e+09,9.998731727905894218e+01
2.831000000000000000e+09,9.997492338015712221e+01
2.832000000000000000e+09,9.992545247833626831e+01
2.833000000000000000e+09,9.989687302716954775e+01
2.834000000000000000e+09,1.000364022962259725e+02
2.835000000000000000e+09,9.998241757121900264e+01
2.836000000000000000e+09,9.998370040794125657e+01
2.837000000000000000e+09,9.992665296284694421e+01
2.838000000000000000e+09,1.000249018473598852e+02
2.839000000000000000e+09,9.995828340734109929e+01
2.840000000000000000e+09,9.997310531219892482e+01
2.841000000000000000e+09,9.998101702969302096e+01
2.842000000000000000e+09,9.987674880713677794e+01
2.843000000000000000e+09,1.000586060761288536e+02
2.844000000000000000e+09,9.983266258011849459e+01
2.845000000000000000e+09,9.988331550223838917e+01
2.846000000000000000e+09,9.970444948380955452e+01
2.847000000000000000e+09,9.980790252160812770e+01
2.848000000000000000e+09,9.954143182463842265e+01
2.849000000000000000e+09,9.930954598245520515e+01
2.850000000000000000e+09,9.865184653280427085e+01
2.851000000000000000e+09,9.831434512687019378e+01
2.852000000000000000e+09,9.794061001888420037e+01
2.853000000000000000e+09,9.747533590935779557e+01
2.854000000000000000e+09,9.810234681210505414e+01
2.855000000000000000e+09,9.727284894768033041e+01
2.856000000000000000e+09,9.862669353593432220e+01
2.857000000000000000e+09,9.847584586796317296e+01
2.858000000000000000e+09,9.933578589659813929e+01
2.859000000000000000e+09,9.963408773342044356e+01
2.860000000000000000e+09,9.972103538498066655e+01
2.861000000000000000e+09,9.979824056547978728e+01
2.862000000000000000e+09,9.983225829033176524e+01
2.863000000000000000e+09,9.995193581915688696e+01
2.864000000000000000e+09,9.988202734072953604e+01
2.865000000000000000e+09,9.988810163514912688e+01
2.866000000000000000e+09,9.999061037399580698e+01
2.867000000000000000e+09,1.000337825271714962e+02
2.868000000000000000e+09,9.999389742345483967e+01
2.869000000000000000e+09,9.994933770866425959e+01
2.870000000000000000e+09,9.990496056564204252e+01
2.871000000000000000e+09,9.995809934849675926e+01
2.872000000000000000e+09,9.998500061721902910e+01
2.873000000000000000e+09,1.000082344457615449e+02
2.874000000000000000e+09,9.996614768808275642e+01
2.875000000000000000e+09,9.998075623433602743e+01
2.876000000000000000e+09,9.994817993366761755e+01
2.877000000000000000e+09,1.000077934380829277e+02
2.878000000000000000e+09,9.990809055021672691e+01
2.879000000000000000e+09,9.998459114222822564e+01
2.880000000000000000e+09,9.968165136817160032e+01
2.881000000000000000e+09,9.975840136395629543e+01
2.882000000000000000e+09,9.963640856410577840e+01
2.883000000000000000e+09,9.948625356857733948e+01
2.884000000000000000e+09,9.881355015709468148e+01
2.885000000000000000e+09,9.863112595189923582e+01
2.886000000000000000e+09,9.791188642399148989e+01
2.887000000000000000e+09,9.733808822764325441e+01
2.888000000000000000e+09,9.798409311660927301e+01
2.889000000000000000e+09,9.716863311174169837e+01
2.890000000000000000e+09,9.834016304796028862e+01
2.891000000000000000e+09,9.814253964360071336e+01
2.892000000000000000e+09,9.907697795620295267e+01
2.893000000000000000e+09,9.943973911426216716e+01
2.894000000000000000e+09,9.959721521193171156e+01
2.895000000000000000e+09,9.977399619316960866e+01
2.896000000000000000e+09,9.982120104625366253e+01
2.897000000000000000e+09,9.988130697703388705e+01
2.898000000000000000e+09,9.985023541143826264e+01
2.899000000000000000e+09,9.988932682289599541e+01
2.900000000000000000e+09,1.000422633171211544e+02
2.901000000000000000e+09,9.997119174042801149e+01
2.902000000000000000e+09,9.995040219512141277e+01
2.903000000000000000e+09,9.995260494773576454e+01
2.904000000000000000e+09,9.990411911720613602e+01
2.905000000000000000e+09,9.996589752908066373e+01
2.906000000000000000e+09,9.988293993973320539e+01
2.907000000000000000e+09,1.000434306432783984e+02
2.908000000000000000e+09,9.996063787748005325e+01
2.909000000000000000e+09,1.000120685364509399e+02
2.910000000000000000e+09,9.998941575981436358e+01
2.911000000000000000e+09,9.998123541627315092e+01
2.912000000000000000e+09,9.991405048271795408e+01
2.913000000000000000e+09,1.000271227897476365e+02
2.914000000000000000e+09,9.989532330767420376e+01
2.915000000000000000e+09,1.000083599538979087e+02
2.916000000000000000e+09,9.996313163909380251e+01
2.917000000000000000e+09,9.998434545886337332e+01
2.918000000000000000e+09,9.990600885414411891e+01
2.919000000000000000e+09,9.998897915781802226e+01
2.920000000000000000e+09,9.991180412981120185e+01
2.921000000000000000e+09,9.998941412334087886e+01
2.922000000000000000e+09,9.993653043336675523e+01
2.923000000000000000e+09,9.997791436961604461e+01
2.924000000000000000e+09,9.990729498548721210e+01
2.925000000000000000e+09,1.000060146980484035e+02
2.926000000000000000e+09,1.000102552493146248e+02
2.927000000000000000e+09,9.989711466684080676e+01
2.928000000000000000e+09,1.000102832044858872e+02
2.929000000000000000e+09,9.997709162215335255e+01
2.930000000000000000e+09,9.992600969538246147e+01
2.931000000000000000e+09,9.996953229853632195e+01
2.932000000000000000e+09,1.000220244995492322e+02
2.933000000000000000e+09,9.995929620059862941e+01
2.934000000000000000e+09,1.000317894334787781e+02
2.935000000000000000e+09,9.995182537526409305e+01
2.936000000000000000e+09,1.000159145166720407e+02
2.937000000000000000e+09,9.999022545186286948e+01
2.938000000000000000e+09,9.996664790067116257e+01
2.939000000000000000e+09,1.000546182457301256e+02
2.940000000000000000e+09,1.000783814614499931e+02
2.941000000000000000e+09,9.994859181866495135e+01
2.942000000000000000e+09,9.995291484944158356e+01
2.943000000000000000e+09,9.995784613711433053e+01
2.944000000000000000e+09,9.995497006839505616e+01
2.945000000000000000e+09,1.000179317563987809e+02
2.946000000000000000e+09,9.996237595895067329e+01
2.947000000000000000e+09,9.993851306714262250e+01
2.948000000000000000e+09,9.990968671472182905e+01
2.949000000000000000e+09,9.997061395809146234e+01
2.950000000000000000e+09,9.996835145861960825e+01
2.951000000000000000e+09,9.999242246618595686e+01
2.952000000000000000e+09,9.997849625720650124e+01
2.953000000000000000e+09,9.994899899006502153e+01
2.954000000000000000e+09,1.000078731141293673e+02
2.955000000000000000e+09,9.999191438111256502e+01
2.956000000000000000e+09,9.996156686218414222e+01
2.957000000000000000e+09,9.992462473672222245e+01
2.958000000000000000e+09,9.990428647488975855e+01
2.959000000000000000e+09,1.000193860535518127e+02
2.960000000000000000e+09,9.991617533888044989e+01
2.961000000000000000e+09,1.000394155661096676e+02
2.962000000000000000e+09,9.997337978541301595e+01
2.963000000000000000e+09,9.984613287574923390e+01
2.964000000000000000e+09,9.998948103284074307e+01
2.965000000000000000e+09,9.998773367348813679e+01
2.966000000000000000e+09,1.000419247025723024e+02
2.967000000000000000e+09,9.999459862596977189e+01
2.968000000000000000e+09,9.997060118452797894e+01
2.969000000000000000e+09,9.996781292688005749e+01
2.970000000000000000e+09,9.997642171624644902e+01
