field_G,mean
-1.500000000000000000e+01,1.770992705937688879e+04
-1.450000000000000000e+01,1.768011502522003866e+04
-1.400000000000000000e+01,1.769991762908218152e+04
-1.350000000000000000e+01,1.771365402182358957e+04
-1.300000000000000000e+01,1.768944314797057450e+04
-1.250000000000000000e+01,1.771138784526510426e+04
-1.200000000000000000e+01,1.770285012642504080e+04
-1.150000000000000000e+01,1.770707831622112280e+04
-1.100000000000000000e+01,1.772261343873517399e+04
-1.050000000000000000e+01,1.770682566025575943e+04
-1.000000000000000000e+01,1.771777483816814856e+04
-9.500000000000000000e+00,1.769772700974239342e+04
-9.000000000000000000e+00,1.771475476088385767e+04
-8.500000000000000000e+00,1.770117216154339621e+04
-8.000000000000000000e+00,1.771045004612630146e+04
-7.500000000000000000e+00,1.772067933645693120e+04
-7.000000000000000000e+00,1.772090164677388748e+04
-6.500000000000000000e+00,1.771278850948382387e+04
-6.000000000000000000e+00,1.771024226208573964e+04
-5.500000000000000000e+00,1.770728277501020057e+04
-5.000000000000000000e+00,1.770885670858313097e+04
-4.500000000000000000e+00,1.770353888044322957e+04
-4.000000000000000000e+00,1.769402465275341820e+04
-3.500000000000000000e+00,1.769456959068431024e+04
-3.000000000000000000e+00,1.771323592732054021e+04
-2.500000000000000000e+00,1.770972804557018389e+04
-2.000000000000000000e+00,1.769268243276604335e+04
-1.500000000000000000e+00,1.768601076860709145e+04
-1.000000000000000000e+00,1.770118298108432282e+04
-5.000000000000000000e-01,1.770262093432394613e+04
0.000000000000000000e+00,1.772870864030061421e+04
5.000000000000000000e-01,1.771670322286409282e+04
1.000000000000000000e+00,1.769040273977230754e+04
1.500000000000000000e+00,1.769760963844776779e+04
2.000000000000000000e+00,1.770834413858159678e+04
2.500000000000000000e+00,1.772564815767658729e+04
3.000000000000000000e+00,1.769743487849942903e+04
3.500000000000000000e+00,1.771997461468297843e+04
4.000000000000000000e+00,1.771380189936410898e+04
4.500000000000000000e+00,1.772500751299982221e+04
5.000000000000000000e+00,1.771661050016501395e+04
5.500000000000000000e+00,1.771177155033743475e+04
6.000000000000000000e+00,1.770230982996935927e+04
6.500000000000000000e+00,1.771256835475932530e+04
7.000000000000000000e+00,1.769606976505471175e+04
7.500000000000000000e+00,1.771364307806649231e+04
8.000000000000000000e+00,1.772114000176709305e+04
8.500000000000000000e+00,1.769566084851603227e+04
9.000000000000000000e+00,1.769375264842923571e+04
9.500000000000000000e+00,1.770106824301673623e+04
1.000000000000000000e+01,1.771046671032423546e+04
1.050000000000000000e+01,1.770628262792577152e+04
1.100000000000000000e+01,1.771586763362984129e+04
1.150000000000000000e+01,1.769937427010002284e+04
1.200000000000000000e+01,1.771113502584372327e+04
1.250000000000000000e+01,1.770580374025825586e+04
1.300000000000000000e+01,1.770073116396795376e+04
1.350000000000000000e+01,1.769138364374384400e+04
1.400000000000000000e+01,1.771579824564138835e+04
1.450000000000000000e+01,1.770171664756648170e+04
1.500000000000000000e+01,1.770713161691522691e+04
