field_G,mean
0.000000000000000000e+00,1.766647784014573335e+04
0.000000000000000000e+00,1.767133893891318439e+04
0.000000000000000000e+00,1.767882268634375941e+04
0.000000000000000000e+00,1.767014803605907582e+04
0.000000000000000000e+00,1.765686335129010695e+04
0.000000000000000000e+00,1.766723609207589107e+04
0.000000000000000000e+00,1.765209498223812625e+04
0.000000000000000000e+00,1.767239570856493810e+04
0.000000000000000000e+00,1.767543860862288784e+04
0.000000000000000000e+00,1.768814762754896219e+04
0.000000000000000000e+00,1.767329687822396954e+04
0.000000000000000000e+00,1.767480072294854835e+04
0.000000000000000000e+00,1.768709085503868118e+04
0.000000000000000000e+00,1.767991732140026215e+04
0.000000000000000000e+00,1.768333112420838006e+04
0.000000000000000000e+00,1.765554024526198555e+04
0.000000000000000000e+00,1.765336957327325217e+04
0.000000000000000000e+00,1.766817637397904764e+04
0.000000000000000000e+00,1.767913753641378935e+04
0.000000000000000000e+00,1.768265486794884782e+04
0.000000000000000000e+00,1.765995973420856171e+04
0.000000000000000000e+00,1.767667679184434746e+04
0.000000000000000000e+00,1.766658192186854649e+04
0.000000000000000000e+00,1.765755168744299226e+04
0.000000000000000000e+00,1.766048356084643819e+04
0.000000000000000000e+00,1.764763857899811410e+04
0.000000000000000000e+00,1.764051353254697460e+04
0.000000000000000000e+00,1.766153312959801042e+04
0.000000000000000000e+00,1.766196989083009248e+04
0.000000000000000000e+00,1.765956921257857903e+04
0.000000000000000000e+00,1.765801790583998081e+04
0.000000000000000000e+00,1.766388629334248253e+04
0.000000000000000000e+00,1.767457542286772878e+04
0.000000000000000000e+00,1.766382277028062890e+04
0.000000000000000000e+00,1.768261492439184804e+04
0.000000000000000000e+00,1.766698243640417786e+04
0.000000000000000000e+00,1.767114654884320407e+04
0.000000000000000000e+00,1.767117865690608232e+04
0.000000000000000000e+00,1.766120227591063667e+04
0.000000000000000000e+00,1.767754468222227297e+04
0.000000000000000000e+00,1.765356973179180568e+04
0.000000000000000000e+00,1.766246213095711573e+04
0.000000000000000000e+00,1.768414028788008727e+04
0.000000000000000000e+00,1.767595887508997839e+04
0.000000000000000000e+00,1.766580427532333852e+04
0.000000000000000000e+00,1.767841017559177999e+04
0.000000000000000000e+00,1.768765001052459411e+04
0.000000000000000000e+00,1.768034292344593268e+04
0.000000000000000000e+00,1.767458193875986763e+04
0.000000000000000000e+00,1.765653923905897318e+04
0.000000000000000000e+00,1.765191810749636716e+04
0.000000000000000000e+00,1.766214754517129040e+04
0.000000000000000000e+00,1.766512234643839838e+04
0.000000000000000000e+00,1.767841081694225431e+04
0.000000000000000000e+00,1.766890764994945494e+04
0.000000000000000000e+00,1.766808499556927563e+04
0.000000000000000000e+00,1.766563777081335502e+04
0.000000000000000000e+00,1.766611699266916912e+04
0.000000000000000000e+00,1.765731434307053496e+04
0.000000000000000000e+00,1.765471207495588897e+04
0.000000000000000000e+00,1.765888844945467281e+04
