field_G,mean
1.500000000000000000e+01,1.767007371944294937e+04
1.450000000000000000e+01,1.768743080275354441e+04
1.400000000000000000e+01,1.768984509151198290e+04
1.350000000000000000e+01,1.768611833409994142e+04
1.300000000000000000e+01,1.768773656789141751e+04
1.250000000000000000e+01,1.769329180069280483e+04
1.200000000000000000e+01,1.769607267789809703e+04
1.150000000000000000e+01,1.768926994254352394e+04
1.100000000000000000e+01,1.767365141120492626e+04
1.050000000000000000e+01,1.766379339991112283e+04
1.000000000000000000e+01,1.766955250810133657e+04
9.500000000000000000e+00,1.767718383162730970e+04
9.000000000000000000e+00,1.768322098109991202e+04
8.500000000000000000e+00,1.769383660011486063e+04
8.000000000000000000e+00,1.768365264323190422e+04
7.500000000000000000e+00,1.766611363493436875e+04
7.000000000000000000e+00,1.767851110747297935e+04
6.500000000000000000e+00,1.766491042142547303e+04
6.000000000000000000e+00,1.768134425993924378e+04
5.500000000000000000e+00,1.768532644583213187e+04
5.000000000000000000e+00,1.767780297469159996e+04
4.500000000000000000e+00,1.768294468612027413e+04
4.000000000000000000e+00,1.768360338554051123e+04
3.500000000000000000e+00,1.766868058537523393e+04
3.000000000000000000e+00,1.768425800635633641e+04
2.500000000000000000e+00,1.768307763615054864e+04
2.000000000000000000e+00,1.767823212677326228e+04
1.500000000000000000e+00,1.768660671183146042e+04
1.000000000000000000e+00,1.769676390064784937e+04
5.000000000000000000e-01,1.770495423985156231e+04
0.000000000000000000e+00,1.770203746624984342e+04
-5.000000000000000000e-01,1.768148170488003234e+04
-1.000000000000000000e+00,1.767344016418364481e+04
-1.500000000000000000e+00,1.766664845678290658e+04
-2.000000000000000000e+00,1.768228246213095554e+04
-2.500000000000000000e+00,1.768433866605337971e+04
-3.000000000000000000e+00,1.767098370429273200e+04
-3.500000000000000000e+00,1.765424440182634498e+04
-4.000000000000000000e+00,1.766779226455447133e+04
-4.500000000000000000e+00,1.765696650061198670e+04
-5.000000000000000000e+00,1.764290630384108590e+04
-5.500000000000000000e+00,1.764899591489892555e+04
-6.000000000000000000e+00,1.767798645835769639e+04
-6.500000000000000000e+00,1.769411677594052162e+04
-7.000000000000000000e+00,1.767552548978334744e+04
-7.500000000000000000e+00,1.768449312237372578e+04
-8.000000000000000000e+00,1.767280804676557091e+04
-8.500000000000000000e+00,1.768342009807360591e+04
-9.000000000000000000e+00,1.770282263540992426e+04
-9.500000000000000000e+00,1.768239729297087251e+04
-1.000000000000000000e+01,1.767780631345614529e+04
-1.050000000000000000e+01,1.767980976240407836e+04
-1.100000000000000000e+01,1.766722153799378066e+04
-1.150000000000000000e+01,1.767109713211352209e+04
-1.200000000000000000e+01,1.766300594600494151e+04
-1.250000000000000000e+01,1.767230850932790781e+04
-1.300000000000000000e+01,1.769128044764600054e+04
-1.350000000000000000e+01,1.765840725781093715e+04
-1.400000000000000000e+01,1.767688003705695883e+04
-1.450000000000000000e+01,1.767513648161574383e+04
-1.500000000000000000e+01,1.767355890055689088e+04
